GT BAROMETRIC PRESSURE,GT COMPRESSOR INLET AIR TEMPERATURE,GT COMPRESSOR OUTLET AIR TEMPERATURE,GT EXHAUST GAS AVERAGE TEMPERATURE (EXHAUST),GT EXHAUST GAS DUCT PRESSURE,GT ACTLD,GT IGV POSITION,GT MAIN A FUEL GAS FLOW,»»÷µ
902.8,19.6,427.4,570,2.5504,226.49,51.9,3.7,34.975
902.8,20,427.8,570.7,2.5461,225.86,51.86,3.7,34.983
902.8,20.1,428,570.8,2.541,226.33,51.49,3.7,34.973
902.8,19.4,427.7,570,2.5464,226.44,51.31,3.7,34.965
902.8,19.4,427.3,569.7,2.5362,225.86,51.95,3.7,34.977
902.7,20,427.7,571,2.541,226.17,52.27,3.7,34.973
902.6,20.3,428.2,571.3,2.5376,226.23,51.67,3.7,34.974
902.6,19.7,428.2,570.4,2.545,225.91,51.32,3.7,34.968
902.5,19.6,427.9,570,2.5418,225.75,63.26,3.9,34.979
902.5,20.1,429.5,571.9,2.7544,240.92,74.39,4,34.985
902.4,20.6,440.5,589,2.997,268.02,74.43,4,34.962
902.4,20.6,443.6,592.5,2.9993,265.76,74.41,4,34.969
902.3,20.8,444.4,590.4,2.9899,261.72,74.44,4,34.968
902.2,21.1,444.5,588,2.9877,259.93,74.43,4,34.985
902.2,21,444.5,585.8,3.0017,259.2,74.42,4,34.993
902.1,21.1,444.7,587.2,2.9947,260.19,74.48,4,34.985
902.2,20.9,444.4,586.9,2.9941,260.24,74.41,4,34.989
902.1,20.7,444.8,587.7,3.0022,260.45,74.42,4,34.985
902,20.3,444.1,586.2,3.0163,260.24,74.37,4,34.986
901.9,20.5,444.1,585.7,2.9964,259.72,74.44,4,34.989
901.9,20.4,444,586,3.0119,259.93,74.39,4,34.977
901.9,20,443.6,584.5,3.0134,259.88,74.43,4,34.981
901.9,20.2,443.8,584.6,3.0129,259.88,74.47,4,34.994
901.9,19.9,443.6,584,3.0159,259.93,74.4,4,35.003
901.8,20.1,443.5,584.4,3.0173,260.14,74.43,4,35.006
901.8,20,443.7,584.4,3.0139,260.19,74.42,4,34.994
901.8,20.1,443.8,584.1,3.0074,259.72,74.45,4,34.993
901.7,20.4,444.1,585.2,3.0122,260.14,74.43,4,34.989
901.6,20.5,444.7,586.4,2.9968,260.3,74.45,4,34.993
901.7,20.8,444.5,586.8,3.0042,259.72,74.43,4,35
901.6,21.1,444.9,587.6,2.9916,259.98,74.43,4,34.99
901.6,20.6,444.9,587,2.9976,259.83,74.45,4,34.989
901.5,20.9,444.9,587.1,3.0059,259.77,74.4,4,34.99
901.5,20.6,445.1,587,3.0032,259.25,74.46,4,34.991
